scenario_id,category,diagnosis_status,triage_status,severity,sufficiency,action,risk,review_requires,expected_route
BW-01,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-02,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-03,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-04,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-05,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-06,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-07,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-08,Bearing Wear,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
BW-09,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,LOCKOUT_TAGOUT,CRITICAL,true,REQUIRES_APPROVAL
BW-10,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,LOCKOUT_TAGOUT,CRITICAL,true,REQUIRES_APPROVAL
BW-11,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,LOCKOUT_TAGOUT,CRITICAL,true,REQUIRES_APPROVAL
BW-12,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,DISASSEMBLE,CRITICAL,true,REQUIRES_APPROVAL
BW-13,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,DISASSEMBLE,CRITICAL,true,REQUIRES_APPROVAL
BW-14,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,REPLACE,CRITICAL,true,REQUIRES_APPROVAL
BW-15,Bearing Wear,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,REPLACE,CRITICAL,true,REQUIRES_APPROVAL
OL-01,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,STOP,HIGH,true,REQUIRES_APPROVAL
OL-02,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,STOP,HIGH,true,REQUIRES_APPROVAL
OL-03,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,STOP,HIGH,true,REQUIRES_APPROVAL
OL-04,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,STOP,HIGH,true,REQUIRES_APPROVAL
OL-05,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
OL-06,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
OL-07,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
OL-08,Overload,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
OL-09,Overload,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,LOCKOUT_TAGOUT,CRITICAL,true,REQUIRES_APPROVAL
OL-10,Overload,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,LOCKOUT_TAGOUT,CRITICAL,true,REQUIRES_APPROVAL
